"Table PT2.  Primary Energy Production Estimates in Trillion Btu, United States, 1960-2020",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Year,Fossil Fuels,,,,,,Nuclear Electric Power,,Renewable Energy,,,,,,Total    ,,,,,
,Coal a,,Natural Gas b,,Crude Oil c,,,,Biofuels d,,Wood and Waste e,,Other f,,,,,,,
1994,"22,346",,"21,765",,"14,103",,"6,694",,188,,"2,839",,"2,960",,"70,894",,,,,
1995,"22,179",,"21,589",,"13,887",,"7,075",,198,,"2,901",,"3,458",,"71,287",,,,,
1996,"22,839",,"21,958",,"13,723",,"7,087",,141,,"3,014",,"3,856",,"72,618",R,,,,
1997,"23,413",,"22,300",,"13,658",,"6,597",,186,,"2,919",,"3,909",,"72,982",,,,,
1998,"23,917",,"22,156",,"13,235",,"7,068",,202,,"2,726",,"3,564",,"72,869",,,,,
1999,"23,177",,"21,842",,"12,451",,"7,610",,211,,"2,754",,"3,551",,"71,597",,,,,
2000,"22,595",,"22,320",,"12,358",,"7,862",,233,,"2,773",,"3,096",,"71,238",,,,,
2001,"23,588",,"22,585",,"12,282",,"8,029",,254,,"2,374",,"2,538",,"71,649",,,,,
2002,"22,730",,"21,894",,"12,160",,"8,145",,308,,"2,397",,"3,026",R,"70,661",,,,,
2003,"22,055",,"21,943",,"11,960",,"7,960",,401,,"2,403",,"3,138",,"69,860",,,,,
2004,"22,822",,"21,550",,"11,550",,"8,223",,486,,"2,510",,"3,067",,"70,207",,,,,
2005,"23,183",,"20,900",,"10,974",,"8,161",,561,,"2,538",,"3,120",,"69,438",,,,,
2006,"23,644",,"21,381",,"10,767",,"8,215",,716,,"2,496",,"3,375",,"70,593",,,,,
2007,"23,337",,"22,182",,"10,741",,"8,459",,970,,"2,502",,"3,039",R,"71,230",,,,,
2008,"23,706",,"23,103",,"10,613",,"8,426",,"1,374",,"2,494",,"3,324",R,"73,041",,,,,
2009,"21,690",,"23,689",,"11,340",,"8,355",,"1,570",,"2,387",,"3,669",R,"72,700",,,,,
2010,"21,831",,"24,593",,"11,610",,"8,434",,"1,868",,"2,685",,"3,762",R,"74,784",R,,,,
2011,"22,057",,"26,409",,"12,012",R,"8,269",,"2,029",,"2,675",,"4,597",R,"78,049",R,,,,
2012,"20,585",,"27,872",,"13,847",R,"8,062",,"1,929",,"2,618",,"4,343",R,"79,256",R,,,,
2013,"19,902",,"28,421",,"15,872",R,"8,244",,"1,985",R,"2,835",,"4,603",R,"81,863",R,,,,
2014,"20,171",,"30,873",,"18,613",R,"8,338",,"2,113",R,"2,917",,"4,746",,"87,770",R,,,,
2015,"17,931",,"32,717",,"19,701",R,"8,337",,"2,176",R,"2,830",,"4,737",,"88,429",R,,,,
2016,"14,538",,"32,428",,"18,522",R,"8,427",,"2,295",R,"2,802",,"5,348",,"84,361",R,,,,
2017,"15,549",,"33,469",,"19,546",R,"8,419",,"2,370",R,"2,759",R,"6,097",,"88,208",R,,,,
2018,"15,280",,"37,762",,"22,786",R,"8,438",,"2,428",R,"2,843",,"6,269",,"95,807",R,,,,
2019,"14,291",,"41,659",R,"25,559",R,"8,452",,"2,363",R,"2,783",R,"6,417",,"101,524",R,,,,
2020,"10,723",,"41,625",,"23,501",,"8,248",,"2,121",,"2,610",,"6,883",,"95,711",,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"a  Beginning in 2001, includes refuse recovery.",,,,,,,,e  Wood energy production and biomass waste energy consumption.,,,,,,,,,,,,
b  Marketed production. ,,,,,,,,"f  Consumption of noncombustible renewable energy, including ",,,,,,,,,,,,
c  Includes lease condensate. ,,,,,,,,"geothermal, hydroelectric power, solar, and wind energy.",,,,,,,,,,,,
d  Biomass inputs (feedstock) to the production of ethanol and biodiesel.,,,,,,,,NA = Not available.  R = Revised.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note: Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,,,,,,,
Web Page: All data are available at http://www.eia.gov/state/seds/seds-data-complete.php.,,,,,,,,,,,,,,,,,,,,
"Sources: Data sources, estimation procedures, and assumptions are described in the documentation at ",,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/state/seds/seds-technical-notes-complete.php.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
